property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft
Flat,82500000,DHA Defence,24.75158774,67.07222692,4,4,2019-06-05,3865.95
Flat,20500000,Clifton,24.832545,67.035949,2,2,2019-06-30,1606.275
Flat,27000000,Clifton,24.832545,67.035949,3,3,2019-06-30,2368.575
Flat,27000000,DHA Defence,24.752502,67.074019,1,1,2019-06-30,1579.05
Flat,27000000,DHA Defence,24.752502,67.074019,1,1,2019-06-30,1579.05
Flat,27000000,DHA Defence,24.752502,67.074019,1,1,2019-06-30,1579.05
Flat,37000000,DHA Defence,24.752502,67.074019,3,2,2019-06-30,2477.475
Flat,37000000,DHA Defence,24.752502,67.074019,3,2,2019-06-30,2477.475
Flat,37000000,DHA Defence,24.782215,67.074537,3,2,2019-06-30,2477.475
Flat,47000000,DHA Defence,24.752502,67.074019,4,3,2019-06-30,2967.525
Flat,47000000,DHA Defence,24.752502,67.074019,4,3,2019-06-30,2967.525
Flat,47000000,DHA Defence,24.752502,67.074019,4,3,2019-06-30,2967.525
Flat,47000000,DHA Defence,24.752502,67.074019,4,3,2019-06-30,2967.525
Flat,50000000,DHA Defence,24.752502,67.074019,5,4,2019-06-30,3212.55
Flat,50000000,DHA Defence,24.752502,67.074019,5,4,2019-06-30,3212.55
Flat,50000000,DHA Defence,24.752502,67.074019,5,4,2019-06-30,3212.55
Flat,50000000,DHA Defence,24.752502,67.074019,5,4,2019-06-30,3212.55
Penthouse,149300000,DHA Defence,24.752502,67.074019,6,5,2019-06-30,7622.999999999999
Penthouse,149300000,DHA Defence,24.752502,67.074019,6,5,2019-06-30,7622.999999999999
Flat,107700000,Clifton,24.813927,67.01261,5,4,2019-06-30,5199.975
Flat,1800000,Gulberg Town,24.91641659,67.05826309,1,1,2019-07-04,326.7
Flat,10300000,DHA Defence,24.842983,67.065697,2,2,2019-06-30,1279.575
Flat,14000000,DHA Defence,24.842983,67.065697,3,3,2019-06-30,1769.625
Flat,10300000,DHA Defence,24.834337,67.055397,2,2,2019-06-30,1279.575
Flat,14000000,DHA Defence,24.834337,67.055397,3,3,2019-06-30,1769.625
Flat,14000000,DHA Defence,24.834337,67.055397,3,3,2019-06-30,1769.625
House,150000000,DHA Defence,24.782215,67.074537,7,6,2019-05-06,5445.0
Flat,4666000,Fazaia Housing Scheme,25.03740683,67.13614225,2,2,2019-05-06,1579.05
Flat,7960000,Fazaia Housing Scheme,25.05711,67.480417,4,3,2019-05-06,2668.05
House,6642000,Northern Bypass,25.07588167,67.10603714,3,3,2019-05-06,1361.25
Upper Portion,14500000,Gulistan-e-Jauhar,24.923142,67.134826,4,3,2019-06-21,3267.0
House,12500000,Fazaia Housing Scheme,25.07588167,67.10603714,5,4,2019-05-06,2994.75
House,6642000,Fazaia Housing Scheme,25.07588167,67.10603714,3,3,2019-05-06,1361.25
House,9205000,Northern Bypass,24.998544,66.948023,4,3,2019-05-06,2994.75
House,12500000,Fazaia Housing Scheme,25.07588167,67.10603714,5,4,2019-05-06,2994.75
Penthouse,12300000,Northern Bypass,25.038086,67.13664,4,3,2019-05-06,2831.4
Penthouse,18700000,Northern Bypass,25.038086,67.13664,5,4,2019-05-06,4328.775000000001
Penthouse,26500000,Northern Bypass,25.07588167,67.10603714,6,5,2019-05-06,5989.500000000001
House,7500000,Chapal Uptown,25.045518,67.13858,3,3,2019-03-10,1306.8
Flat,6422000,Northern Bypass,25.038086,67.13664,3,2,2019-05-06,1715.175
